"name","prop100k"
"Hinton",12.31
"Zhang",12.31
"Hays",12.3
"Mayo",12.28
"Fritz",12.26
"Branch",12.25
"Mooney",12.22
"Ewing",12.21
"Ritter",12.18
"Esparza",12.15
"Frey",12.13
"Braun",12.11
"Gay",12.11
"Riddle",12.1
"Haney",12.1
"Kaiser",12.07
"Holder",12.04
"Chaney",12.02
"Mcknight",12.01
"Gamble",12
"Vang",11.99
"Cooley",11.97
"Carney",11.97
"Cowan",11.95
"Forbes",11.95
"Ferrell",11.93
"Davies",11.92
"Barajas",11.92
"Shea",11.89
"Osborn",11.88
"Bright",11.88
"Cuevas",11.87
"Bolton",11.86
"Murillo",11.85
"Lutz",11.84
"Duarte",11.82
"Kidd",11.82
"Key",11.82
"Cooke",11.81
